disease_id,disease_key,canonical_key,disease_name,disease_name_clean,canonical_name_source,seed_disease_name,seed_disease_name_clean,standardized_name,ontology_id,ontology_source,ontology_label,ontology_description,ontology_synonyms,source_id,source_name,source_url,retrieved_at,source_reference_clean,ontology_status,ontology_match_method,ontology_query,batch_id,created_at
079e61f1-4104-59c4-9c16-c77fe87dfeae,type_2_diabetes_mellitus,doid:9352,type 2 diabetes mellitus,type 2 diabetes mellitus,seed_disease_name,type 2 diabetes mellitus,type 2 diabetes mellitus,,DOID_9352,Disease Ontology,,,t2dm,D001,curated_disease_seed,https://disease-ontology.org/?id=DOID_9352,,WHO / IDF,matched,cache,type 2 diabetes mellitus,D001,2026-06-02T11:19:35+00:00
bdbf1095-0cdc-5827-9694-2488d840a243,hypertension,doid:10763,hypertension,hypertension,seed_disease_name,hypertension,hypertension,,DOID_10763,Disease Ontology,,,high blood pressure,D002,curated_disease_seed,https://disease-ontology.org/?id=DOID_10763,,WHO fact sheet,matched,cache,hypertension,D001,2026-06-02T11:19:35+00:00
b4f3df9e-a237-5eca-87b8-fb18793c4acf,obesity,doid:9970,obesity,obesity,seed_disease_name,obesity,obesity,,DOID_9970,Disease Ontology,,,overweight and obesity,D003,curated_disease_seed,https://disease-ontology.org/?id=DOID_9970,,WHO fact sheet,matched,cache,obesity,D001,2026-06-02T11:19:35+00:00
621e639c-6dfb-59ef-ad1e-c28702b6e592,osteoarthritis,doid:8398,osteoarthritis,osteoarthritis,seed_disease_name,osteoarthritis,osteoarthritis,,DOID_8398,Disease Ontology,,,oa,D004,curated_disease_seed,https://disease-ontology.org/?id=DOID_8398,,WHO fact sheet,matched,cache,osteoarthritis,D001,2026-06-02T11:19:35+00:00
d5128efd-aa44-55be-90c9-ba2b2e7895dd,rheumatoid_arthritis,doid:7148,rheumatoid arthritis,rheumatoid arthritis,seed_disease_name,rheumatoid arthritis,rheumatoid arthritis,,DOID_7148,Disease Ontology,,,ra,D005,curated_disease_seed,https://disease-ontology.org/?id=DOID_7148,,WHO fact sheet,matched,cache,rheumatoid arthritis,D001,2026-06-02T11:19:35+00:00
12b38af1-6f63-54a2-9d85-01b1c9811269,asthma,doid:2841,asthma,asthma,seed_disease_name,asthma,asthma,,DOID_2841,Disease Ontology,,,bronchial asthma,D006,curated_disease_seed,https://disease-ontology.org/?id=DOID_2841,,WHO / GINA,matched,cache,asthma,D001,2026-06-02T11:19:35+00:00
4970fd41-591e-59b2-a423-7da28775c338,copd,doid:3083,copd,copd,seed_disease_name,copd,copd,,DOID_3083,Disease Ontology,,,chronic obstructive pulmonary disease,D007,curated_disease_seed,https://disease-ontology.org/?id=DOID_3083,,WHO fact sheet,matched,cache,copd,D001,2026-06-02T11:19:35+00:00
45b40aac-c9f1-5932-97c0-6a13bb7e8752,masld,doid:0080208,masld,masld,seed_disease_name,masld,masld,,DOID_0080208,Disease Ontology,,,metabolic dysfunction-associated steatotic liver disease; nafld; non-alcoholic fatty liver disease; fatty liver,D008,curated_disease_seed,https://disease-ontology.org/?id=DOID_0080208,,NIDDK,matched,cache,masld,D001,2026-06-02T11:19:35+00:00
ee8cd905-ac90-5695-8a6a-9795c61923e6,breast_cancer,doid:1612,breast cancer,breast cancer,seed_disease_name,breast cancer,breast cancer,,DOID_1612,Disease Ontology,,,mammary carcinoma,D009,curated_disease_seed,https://disease-ontology.org/?id=DOID_1612,,WHO fact sheet,matched,cache,breast cancer,D001,2026-06-02T11:19:35+00:00
37d4f6a9-1969-5cca-9056-df6b65a8dbec,colorectal_cancer,doid:9256,colorectal cancer,colorectal cancer,seed_disease_name,colorectal cancer,colorectal cancer,,DOID_9256,Disease Ontology,,,colon cancer; rectal cancer,D010,curated_disease_seed,https://disease-ontology.org/?id=DOID_9256,,IARC / WHO,matched,cache,colorectal cancer,D001,2026-06-02T11:19:35+00:00
